(-0.00233758713911+0j) (-0.00372276661379+0j) (-0.000279788345642+0j) (0.00493313191902+0j) (-0.00268041442962+0j) (-0.00266043948858+0j) (-0.00189147702748+0j) (-0.00363783161038+0j) (-0.00377731027188+0j) (0.00332512518519+0j) (0.00504445330641+0j) (0.00507914027738+0j) (-0.00350787066682+0j) (-4.26152142232e-05+0j) (0.00160511649392+0j) (-0.00679344531575+0j) (-0.00719808487728+0j) (0.0033178936095+0j) (-0.00471480397703+0j) (-0.00359567604014+0j)
(-0.000229173569401-0.000206507767664j) (-0.000933268888934+0.000448367777144j) (0.000585349031646-0.000411797686986j) (0.000663063685675+0.00199021108494j) (-0.000655900621269-7.62924274543e-06j) (-0.0011520927505-0.000728537488714j) (-0.000612650910995-0.000135535104486j) (-0.0006675153289+0.000318106454597j) (-0.000696234069067+0.000928399875835j) (4.19311315429e-05-0.00127772343157j) (0.00122732453429+0.00022854311211j) (0.0012416355409+0.000291408234024j) (-0.0030418778191+0.00122203627839j) (0.0032965570883+0.000592224731463j) (-0.000518434826472+0.000974928224276j) (-0.0017493913575+0.0020926226273j) (-0.00117915857748+0.00292980627319j) (0.000672915530601+0.000351723828685j) (-0.0003868376892+0.000872370423862j) (-0.00105047700111+0.00283022769816j)
(5.46881130991e-05-5.84924367285e-05j) (1.03427992262e-05-0.000118262411997j) (-2.28269619214e-05-9.20188384085e-05j) (-5.19208988375e-05-7.45359122989e-05j) (-4.19608264003e-05-0.000105473236146j) (-6.35261584699e-05-7.4219058547e-05j) (-5.69312747776e-05-9.19095683352e-05j) (-3.39498501394e-05-0.000103361321597j) (-3.60262790813e-05-1.96455308351e-05j) (-0.000148006960742-0.000106550235368j) (5.30927585788e-05-6.82499658528e-05j) (-5.73815375523e-06-0.000121250084254j) (-0.0021666885315-0.00059164728085j) (0.00197558732367+0.000461291672702j) (-8.53454964818e-05+1.05280844126e-05j) (-1.74659179174e-05+2.02439934131e-05j) (-8.17373106922e-05-5.02719115293e-05j) (-1.4164630278e-05-4.24036110915e-05j) (-8.01646058457e-06-7.99061962939e-05j) (-1.16353502443e-05-8.08193558274e-05j)
(2.88258824973e-05-5.79577053056e-05j) (-3.34953525095e-05-0.000117513446066j) (-2.18584338218e-05-0.000161240820327j) (-6.47152900502e-05-3.22733780257e-05j) (-0.000143271966648-8.37660540114e-05j) (-3.92164677191e-05-9.56579760248e-05j) (-0.000103991748606-0.000145780657486j) (-0.000278325543638-3.98298549717e-05j) (-0.000146802453059-0.000193486346287j) (-0.00019474876883-3.99743474357e-05j) (-6.15769225462e-05-0.000126305300206j) (-0.000177163768073-0.00013864722313j) (-0.0023080561567-5.83794413015e-06j) (0.00207717487144-0.00023411392629j) (-5.28154432834e-05-8.06042838615e-05j) (-3.1299226369e-05+1.44935872486e-05j) (-0.000197295281075-0.000131834261874j) (-9.53133436416e-05-0.000101321337281j) (1.32180515895e-05-0.000164771010218j) (-7.52084805696e-05-5.24057070737e-05j)
(-2.12897676178e-05-0.000143958520948j) (-9.46616145292e-05-0.000181719382903j) (4.53526460855e-06-0.000212790732491j) (2.32326757386e-05-6.52904702626e-05j) (-0.00015210787971-6.07126743297e-05j) (-0.000105819272661-0.000105142306964j) (-0.000345033938074-0.000303044612224j) (-0.000328055643669+4.14949791471e-05j) (-0.000233149267049-0.000184904746645j) (-0.000204008772521-0.000107126703965j) (-0.000239593118257-0.00022086264834j) (-0.000338333449813-1.27723356088e-05j) (-0.00177816980047-0.000189635373001j) (0.00168958047972-7.10750630266e-05j) (-0.000180465080447-0.000127051592774j) (-0.000265936057408-7.1861236193e-05j) (-5.53377059324e-05-0.000247824483353j) (-7.76265442809e-05-0.000130927579763j) (-0.000132053473792-9.96401650803e-05j) (-0.000250215614502-0.00013648598174j)
(-1.22182373872e-05-0.000256817410276j) (0.000109187446315-0.000367902993704j) (-0.000144632663055-0.000141261980206j) (-0.000263991078097-0.000171567947199j) (-0.000468898538009-0.000216937102865j) (-0.000534115043553-0.000311841759033j) (-0.000517563414236-0.000280901018113j) (-0.000518558128013+1.05313238964e-05j) (-0.000573852900672-0.000122059558584j) (-0.000601043393121-0.000357164490491j) (-0.000356323938628-0.000285656613573j) (-0.000474720506065-0.000156265317858j) (-0.00258525538902-0.000428036296031j) (0.00200711690144+0.00010854331506j) (-0.000351940718898-0.000136561695766j) (-0.000379645353715-0.000139954415838j) (-0.000107492562474-0.000283745543621j) (-0.000157713738822-0.000222512167891j) (-0.000571521188135-8.75877408308e-05j) (-0.000179494848644-0.00046069546281j)
(-3.42594747806e-05-0.000452024748617j) (-7.27911692893e-06-0.000367944547857j) (-0.000412344165902-0.000323628349963j) (-0.000475871674657-0.000376704525992j) (-0.000425210397568-0.000376381935563j) (-0.00101440284653-0.000335462671525j) (-0.00105884247949-0.000375680461074j) (-0.00124620753757+0.000161605817379j) (-0.000848209971684-4.82519539841e-05j) (-0.000661348341312-0.00061141294174j) (-0.000849512266236-0.000403938820171j) (-0.000933290819179-0.000429887895833j) (-0.00388498174806-0.00015631632444j) (0.00244841060528-0.000654556427471j) (-0.000642415645922-0.0003906438157j) (-0.00045575455893-0.00035463777026j) (-0.000582682866958-0.000424319793675j) (-0.000700510890333+3.06039421951e-05j) (-0.000714473146718-0.000243183764625j) (-0.000327236921243-0.00049527109257j)
(2.32667486314e-05-0.000392545880132j) (-0.000141719979849-0.000228311883897j) (-0.000235950269822-0.000325437963418j) (-0.000518245930104-0.000464172467012j) (-0.000227527677041-0.000380161314741j) (-0.000783532572911-0.000315269371017j) (-0.000827464396999-0.000296491276848j) (-0.000824487356496+0.000283416676185j) (-0.000840487880211+5.85103615913e-05j) (-0.00063756257944-0.000267718681939j) (-0.000624126710482-0.000275763478223j) (-0.0010023458788-0.000183480781966j) (-0.00242935036932+0.000108160567284j) (0.0014321723371-0.000617845048414j) (-0.000515795371334-0.000311869678406j) (-0.000602561742556-0.000226030441523j) (-0.000523552212298-0.000469081189849j) (-0.00036192037673+8.07616759354e-05j) (-0.000204484495772-6.87648890661e-05j) (-0.00033234960656-0.000481500586678j)
(-0.000211772688819-0.000307374005273j) (-0.00024966898409-0.000338045459134j) (-0.000323427999589-0.000409019232585j) (-0.000795080182051-0.000488427184017j) (-0.000680524378246-0.000432345070431j) (-0.0010158321737-0.000334862602878j) (-0.00113612341494-0.00024060130789j) (-0.00116612924897+2.5292582804e-05j) (-0.00129659491545-0.00011285647604j) (-0.00140641007502-0.000127934642135j) (-0.00147942442078-2.86323589506e-05j) (-0.00147047606064-0.000274917333269j) (-0.00381096716034+0.000593349443179j) (0.00171559227967-0.000935021083134j) (-0.00073344040437-0.000147299979019j) (-0.000617893434893-7.1230700339e-05j) (-0.000467925305353-0.000289698086352j) (-0.00068038739114-0.000107391936705j) (-0.000335418886469-0.000206617817878j) (-0.000216812465621-0.00026667130552j)
(-0.000579227322891-0.00042374468268j) (-0.00043349379443-0.000167540976546j) (-0.000172392451378-0.000518860436348j) (-0.00109785801059-0.00094843100459j) (-0.00112587380469-0.000674101676755j) (-0.00114144182612-0.00032349752433j) (-0.00185229449196-0.00061967975209j) (-0.00191361063731-0.000202079147693j) (-0.00157475324652-0.000661157525548j) (-0.00230835071629-0.000737508562558j) (-0.00227250102406-0.000278833870322j) (-0.00176216390172-0.000860772552194j) (-0.00482898642569-0.000484464074116j) (0.0016105121721-2.20145857235e-05j) (-0.000954116775154-0.000605973063477j) (-0.00133884797271-0.000645721956736j) (-0.000945664305711-0.000301281159416j) (-0.00145964708042-0.000492063929651j) (-0.000983656023164-0.00023150281158j) (-0.000198020065188-0.000468148039728j)
(-0.000435470712091-0.000405540109523j) (-0.000599049870299-3.59797135956e-05j) (-0.00111653687803-0.000594540171869j) (-0.00107029893294-0.000476205860003j) (-0.00175678579011-0.000466747343132j) (-0.00122152669332-0.000397239197596j) (-0.00172140716729-0.000917429640333j) (-0.00226334516612-0.000908602756164j) (-0.00186602922569-0.00085518655389j) (-0.00224388903153-0.00100482113889j) (-0.00187114630032-0.000858188487307j) (-0.00156164202413-0.000737573349762j) (-0.00505689653793-0.00131028362283j) (0.00180880521851+0.000494562045159j) (-0.000678172945695-0.00109382933966j) (-0.00162101190908-0.000757319428714j) (-0.00115639319611-0.0005203582328j) (-0.00146836637129-0.000545932704625j) (-0.000760306065606-0.000172344502025j) (-0.000240073447736-0.00038294040595j)
