(-0.00942972672345+0j) (-0.00226694814658+0j) (0.0111656135027+0j) (0.00700302145378+0j) (0.00683787228182+0j) (0.00289786324252+0j) (0.0137434067997+0j) (-0.00588504800074+0j) (-0.00428870937554+0j) (0.00070005146234+0j) (0.00966576526442+0j) (-0.00520183597791+0j) (-0.00455974971787+0j) (-0.00194563541189+0j) (-0.00589329782216+0j) (-0.000791292071161+0j) (0.00498613851165+0j) (0.00809063827316+0j) (0.0048297620915+0j) (-0.00236929500148+0j)
(-0.001931802612+0.000623717332669j) (-0.000786102773983-0.000345234271338j) (0.00207063723837-7.97011945566e-06j) (0.00117464786325-0.00167096748006j) (0.0011606506242+1.3535620233e-05j) (0.0004654409126+0.000305711324223j) (0.00257841-0.00177815560546j) (-0.000713572617124+0.000237567819555j) (-0.000777184772028+0.00146453568695j) (0.000206752411978+0.000239775517565j) (0.00195330302272-0.000278532740713j) (-0.000953505563749+0.000154688024296j) (-0.000678519830184+0.000467681505865j) (-0.000458366211184+0.00029476447034j) (-0.0017355616392-0.000636595372507j) (-0.000357912722932+4.01753462857e-06j) (0.000754927420712-0.00107870191182j) (0.00134233336715-8.07293499989e-05j) (0.00153126133183-0.000117298232735j) (-2.99388423898e-05+2.73956703645e-05j)
(3.64806009563e-05-4.95490795638e-05j) (2.68006360618e-05-5.89682243615e-05j) (-0.000101443587957-7.26787280973e-05j) (-2.47133369452e-05-4.0111913853e-05j) (1.32910170373e-06-0.000101735869147j) (-4.71822274024e-05-6.19255154141e-05j) (-0.000147532187382-3.29192969578e-05j) (-1.20918488752e-05-8.50240716892e-05j) (-4.1516054142e-05-5.73687373188e-06j) (-9.16202415564e-05+2.28249353074e-05j) (-6.172607022e-05-1.50882616753e-05j) (-1.68953660064e-05-1.55737130762e-05j) (6.35196265906e-06-0.000139899775291j) (-8.50474868489e-05-4.12246368994e-05j) (-7.20781533672e-05-4.86591727353e-05j) (-1.23346889695e-05-9.58657745823e-05j) (-4.79397566203e-05-4.24021798851e-05j) (-5.25215377422e-05-7.07104771219e-05j) (-4.05519240808e-07-6.52575778653e-06j) (4.68194371425e-05-8.07581062009e-05j)
(-4.25342394991e-05-9.33516732888e-05j) (3.33469039683e-05-0.000125915457134j) (-0.000122076034691-9.08724486403e-05j) (-0.000144277011814-0.000214293724622j) (-1.56235883692e-05-0.000128891871452j) (-0.00015576244531-6.97064422707e-05j) (-0.000298076510638-0.000193551591999j) (-3.37289350976e-05-0.000123925502988j) (-0.000123507570761-9.0011955752e-05j) (-0.000117740238283-3.42735524182e-05j) (-8.20203290671e-05-6.68232879866e-05j) (-0.000103183029268-7.65903438806e-05j) (2.64073420851e-05-0.000151282615807j) (-9.21357156577e-05-0.000117962644724j) (-0.000181884863317-2.87821683505e-05j) (-9.48943177689e-05-7.84668372107e-05j) (-0.000224528659826-0.000156632965653j) (-0.000144640894416-0.000192231201767j) (-9.92470590852e-05+0.000101020692893j) (5.60890444301e-05-0.000211464527451j)
(-8.16257591655e-05-7.62966248308e-05j) (-8.66489995451e-05-0.000207696227237j) (-6.2892562675e-05-0.000153558092925j) (-0.000195848344035-0.000249705355332j) (-7.10681625399e-05-0.000212106325792j) (-0.00026386215443+0.000137973968349j) (-0.00027562599566-9.69908555646e-05j) (-8.93311479347e-05-0.00016692058902j) (-0.000151432158123-0.000250565473112j) (-0.000274657748276-0.000172509392711j) (-1.86649857404e-05-4.64137842626e-05j) (-0.00016690869731-0.000190109059984j) (0.000114321658181-0.000223282741193j) (-0.00021961279276-0.00026528766495j) (-0.000177431353359-0.000111907366642j) (-0.000197194786597-0.000154073458147j) (-0.000222873612088-8.06547823788e-05j) (-0.000104510515361-0.0002227326067j) (-6.88787891461e-05-5.5765288733e-05j) (5.46044836918e-05-7.62738027634e-05j)
(-8.19880653884e-05-0.000188544578045j) (-4.43198387437e-05-0.00011874449056j) (-0.000276939230882-6.32138981471e-05j) (-8.7698951891e-05-0.000171296914713j) (-0.000232217260207-6.53073762626e-05j) (-0.000202548595017+4.27017057037e-05j) (-0.000135001306908-2.49862009217e-06j) (-0.00015367141088-0.000171142677805j) (-0.000415333664755-0.000177381238667j) (-0.000374481030201-0.000177645354559j) (-0.00020119387807+7.3668365772e-05j) (-0.000333731272516-8.46916796674e-05j) (-0.000131646246549-0.000254447412601j) (-0.000389224957593-0.000343867740272j) (-0.000217851474587-0.00023092161537j) (-0.000100590142735-0.000233907813801j) (-0.000168070582787-0.000237262645384j) (1.69818921183e-05-8.24021199136e-05j) (-0.00017950796224-0.000131350140137j) (5.6382724495e-05-2.18228593229e-05j)
(-3.63457007902e-05-0.000247007837953j) (-0.000166774957632-0.000122154532765j) (-0.000442804707632-3.79832533985e-05j) (-0.000219106420852-5.04451445672e-05j) (-0.000249263671429+3.62439206102e-05j) (-0.000262452676142-8.96089136123e-05j) (-0.000386512026554-7.95939781931e-05j) (-0.000334078396302-0.00015604072877j) (-0.000541465627106-0.000213970372761j) (-0.000392793574597-0.00013401353923j) (-0.000434855053957+9.1668328016e-05j) (-0.000222254235354-0.000302648379472j) (-0.000425442021998-0.000170484683941j) (-0.000408866018764-0.000417735589567j) (-0.000289395327429-0.000189629837692j) (-0.000358174952258-0.000259768306964j) (-9.88519445742e-05-0.000268755226953j) (-0.000244138517525-0.000100865835752j) (-0.000237583742952-0.000366019695105j) (7.4371520247e-05-0.000157011882782j)
(-0.00021912296741-0.000141841210922j) (-0.000241610186891-0.000232300488784j) (-0.000452035188018-0.000112303688756j) (-0.0005100807835-0.000245717664826j) (-0.000254096689057-0.000178658252959j) (-0.000541570192185-0.000117522949535j) (-0.000707441911812-2.14372816491e-05j) (-0.000630463248784-0.000268928965163j) (-0.000554454990908-0.000223888242855j) (-0.00074613230662-0.000152473577309j) (-0.000741556611695-0.000340724656827j) (-0.00055172593883-0.000478811585579j) (-0.000660047806259-0.000391599695348j) (-0.000779730859781-0.000373879029363j) (-0.000654148396334-0.000176945966611j) (-0.000497399375759-0.000499992944075j) (3.57196794788e-05-0.000469583243183j) (-0.000390298749744-8.92617618893e-05j) (-0.000349946934293-0.000439408958047j) (1.14965744806e-05-0.000321904255397j)
(-0.000226812836537+3.05077971996e-05j) (-0.000106629135838-0.000199608990083j) (-0.000412791386011-0.000154204443977j) (-0.000923618766799-0.000108372307612j) (-0.000284701691539-0.000187886357057j) (-0.000831059135523-9.5470664152e-05j) (-0.000712954094352-0.000151236222755j) (-0.00086494076222-0.000202347486368j) (-0.00105828768049-0.000139691173756j) (-0.00102231525691+7.41276497414e-05j) (-0.00101176165572-0.000313308439052j) (-0.000666953472392-0.000420424171016j) (-0.000993940285112-0.000468112586474j) (-0.00123854144002-0.000232986693359j) (-0.000982936456405-0.000177695252724j) (-0.000555964112942-0.000452122852831j) (-0.000618152600699-0.000382531496595j) (-0.0005848057492-0.000349550645088j) (-0.000221709076882-0.000356017556318j) (-0.000184319161533-0.000112491742252j)
(-0.000120353059105+6.28932840259e-05j) (-0.00027815456584-0.000304781238347j) (-0.000357206763421-0.000373868549829j) (-0.000760310605896-0.000179910542421j) (-0.000530566762271-0.000263948135733j) (-0.000933194948356-0.000188941771542j) (-0.000862871983915-0.000622405566138j) (-0.00121656578741-0.000476845023581j) (-0.00107725988194-4.95785756596e-05j) (-0.00156614795041-0.000450651671679j) (-0.00127740450647-0.000673641381549j) (-0.000850562455169-0.000220926675078j) (-0.00154478668495-0.000411326499194j) (-0.00129081715931-0.000197514101611j) (-0.00128587198344-7.1871414905e-05j) (-0.00110013549239-0.000508361531794j) (-0.00111241501124-0.000409048093224j) (-0.000541118572712-0.000393064729629j) (-0.00051647299655-0.000368697745317j) (-0.000592924877641-0.000324783906009j)
(-0.000237784966913-0.000231825933906j) (-0.000310756374179-0.000332883285199j) (-0.00018791390741-0.000496768789666j) (-0.000772814435087-0.000486483813884j) (-0.00081506301119-0.000317322449445j) (-0.00102992082965-0.00049905150785j) (-0.000979489388042+7.41401579117e-05j) (-0.000718373445157-0.000310496395652j) (-0.00102275254952-0.000431136309946j) (-0.00176074079973-0.000690547072262j) (-0.00116293100215-0.000894154308984j) (-0.000922409101394-0.000458882647745j) (-0.00111680849023-0.000460133992795j) (-0.00114492169184-5.3034700297e-05j) (-0.000838425732783+6.01196924575e-05j) (-0.00100419890926-0.000524325958321j) (-0.00103671048983-0.000506870206225j) (-0.000578907466251-0.000133689223547j) (-0.000742102524885-0.00019304416368j) (-0.000444695362049-0.000427241286152j)
